rank,gid,role,priority_score,why,secondary_role,is_seed,depth,cluster_id,seed_in_kzt,seed_sources,money_score,sources_score,role_part,patterns
15,100000001411870100,terminal,0.573952689,"Гипотеза. Конечный получатель: получил 900 тыс. ₸ от 2 плательщиков, отдал 0%; до 24.07 пришло 100%; денег seed ≈726 тыс. ₸ от 2 seed. Приоритет 0,57 = 0,50×0,72 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,49 (роль). Гипотеза для проверки.",,False,1,7,725581.395348837,2,0.720572045,0.333333333,0.490000000,
16,100000001527186100,terminal,0.548043282,"Гипотеза. Конечный получатель: получил 678 тыс. ₸ от 1 плательщика, отдал 0%; до 24.07 пришло 100%; денег seed ≈678 тыс. ₸ от 2 seed. Приоритет 0,55 = 0,50×0,71 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,42 (роль). Гипотеза для проверки.",,False,1,3,678000.000000000,2,0.710753230,0.333333333,0.420000000,
17,100000008165763100,coordinator,0.542470745,"Гипотеза. Координация: деньги 2 seed (≈170 тыс. ₸); 15 плательщиков → 17 получателей; дальше ушло 50% денег seed. Также признаки: веер. Приоритет 0,54 = 0,50×0,51 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,73 (роль). Гипотеза для проверки.",distributor,False,1,3,170135.317976162,2,0.510608158,0.333333333,0.735000000,fast_transit;sync_inflow
18,100000004135268100,transit,0.540274881,"Гипотеза. Транзит: получил 1,2 млн ₸, отдал 81%; за 0–2 дня ушло 69%; денег seed ≈1,1 млн ₸ от 1 seed. Приоритет 0,54 = 0,50×0,78 (деньги seed) + 0,20×0,00 (разные seed) + 0,30×0,51 (роль). Гипотеза для проверки.",,False,1,52,1064000.000000000,1,0.775990541,0.000000000,0.507598700,fast_transit;return_flow;stable_route
19,100000002939838100,consolidator,0.531008178,"Гипотеза. Сбор: 3 плательщика, 3 перевода, 571 тыс. ₸ → 0 получателей; отдал 0%; денег seed ≈178 тыс. ₸ от 3 seed. Также признаки: конечный получатель. Приоритет 0,53 = 0,50×0,52 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,46 (роль). Гипотеза для проверки.",terminal,False,1,5,178122.618806746,3,0.517249689,0.666666667,0.463500000,late_inflow
20,100000008637537100,coordinator,0.521402711,"Гипотеза. Координация: деньги 2 других seed (≈227 тыс. ₸); 3 плательщика → 3 получателя; дальше ушло 97% денег seed. Seed: вход неполон. Приоритет 0,52 = 0,50×0,55 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,59 (роль). Уже в списке seed. Гипотеза для проверки.",,True,0,10,227188.461473726,2,0.552472089,0.333333333,0.595000000,seed;fast_transit;split;return_flow;stable_route
21,100000002838861100,consolidator,0.520323131,"Гипотеза. Сбор: 5 плательщиков, 5 переводов, 555 тыс. ₸ → 1 получатель; отдал 2%; денег seed ≈398 тыс. ₸ от 2 seed. Также признаки: конечный получатель. Приоритет 0,52 = 0,50×0,63 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,46 (роль). Гипотеза для проверки.",terminal,False,1,9,397500.000000000,2,0.633455710,0.333333333,0.456428700,return_flow
22,100000005074393100,coordinator,0.519128261,"Гипотеза. Координация: деньги 2 seed (≈198 тыс. ₸); 4 плательщика → 6 получателей; дальше ушло 47% денег seed. Также признаки: веер. Приоритет 0,52 = 0,50×0,53 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,62 (роль). Гипотеза для проверки.",distributor,False,1,13,198490.429835312,2,0.532923189,0.333333333,0.620000000,external_funding;return_flow
23,100000001567366100,terminal,0.516499017,"Гипотеза. Конечный получатель: получил 824 тыс. ₸ от 1 плательщика, отдал 0%; до 24.07 пришло 100%; денег seed ≈824 тыс. ₸ от 1 seed. Приоритет 0,52 = 0,50×0,74 (деньги seed) + 0,20×0,00 (разные seed) + 0,30×0,49 (роль). Гипотеза для проверки.",,False,1,5,824070.000000000,1,0.738998033,0.000000000,0.490000000,
24,100000007777377100,terminal,0.513035236,"Гипотеза. Конечный получатель: получил 456 тыс. ₸ от 1 плательщика, отдал 2%; до 24.07 пришло 100%; денег seed ≈271 тыс. ₸ от 2 seed. Приоритет 0,51 = 0,50×0,58 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,52 (роль). Гипотеза для проверки.",,False,2,5,270508.812690870,2,0.577737138,0.333333333,0.525000000,
25,100000005183943100,terminal,0.511797665,"Гипотеза. Конечный получатель: получил 681 тыс. ₸ от 1 плательщика, отдал 0%; до 24.07 пришло 96%; денег seed ≈681 тыс. ₸ от 1 seed. Приоритет 0,51 = 0,50×0,71 (деньги seed) + 0,20×0,00 (разные seed) + 0,30×0,52 (роль). Гипотеза для проверки.",,False,1,42,680900.000000000,1,0.711371110,0.000000000,0.520373700,
26,100000006518161100,transit,0.500661316,"Гипотеза. Транзит: получил 594 тыс. ₸, отдал 100%; за 0–2 дня ушло 50%; денег seed ≈534 тыс. ₸ от 1 seed. Приоритет 0,50 = 0,50×0,68 (деньги seed) + 0,20×0,00 (разные seed) + 0,30×0,54 (роль). Гипотеза для проверки.",,False,1,5,534011.341099187,1,0.676193492,0.000000000,0.541881900,fast_transit;return_flow;stable_route
27,100000001929088100,terminal,0.494326721,"Гипотеза. Конечный получатель: получил 396 тыс. ₸ от 2 плательщиков, отдал 0%; до 24.07 пришло 53%; денег seed ≈396 тыс. ₸ от 2 seed. Приоритет 0,49 = 0,50×0,63 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,37 (роль). Гипотеза для проверки.",,False,1,7,396010.000000000,2,0.632912049,0.333333333,0.370680100,late_inflow
28,100000007939160100,terminal,0.492899521,"Гипотеза. Конечный получатель: получил 795 тыс. ₸ от 1 плательщика, отдал 2%; до 24.07 пришло 100%; денег seed ≈795 тыс. ₸ от 1 seed. Приоритет 0,49 = 0,50×0,73 (деньги seed) + 0,20×0,00 (разные seed) + 0,30×0,42 (роль). Гипотеза для проверки.",,False,1,42,795000.000000000,1,0.733799041,0.000000000,0.420000000,return_flow
29,100000008723830100,transit,0.492594351,"Гипотеза. Транзит: получил 460 тыс. ₸, отдал 99%; за 0–2 дня ушло 99%; денег seed ≈454 тыс. ₸ от 1 seed. Приоритет 0,49 = 0,50×0,65 (деньги seed) + 0,20×0,00 (разные seed) + 0,30×0,55 (роль). Гипотеза для проверки.",,False,1,5,454000.000000000,1,0.652695283,0.000000000,0.554155700,fast_transit
30,100000005778283100,consolidator,0.492224145,"Гипотеза. Сбор: 3 плательщика, 3 перевода, 616 тыс. ₸ → 0 получателей; отдал 0%; денег seed ≈346 тыс. ₸ от 2 seed. Также признаки: конечный получатель. Приоритет 0,49 = 0,50×0,61 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,40 (роль). Гипотеза для проверки.",terminal,False,1,7,346349.748372381,2,0.613514957,0.333333333,0.396000000,
